terms_conditions,type_independent_activity_id,incomes,extra_incomes,familiar_debts,is_tax_return,region_id,name,name.1,viability,is_selected,has_region_id,has_date_exp_token,year_exp_token,month_exp_token,day_exp_token,year_birth,month_birth,day_birth,has_extra_incomes,has_familiar_debts,age,age_section
0,1,17.370858648025116,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,28,1984,4,9,1,0,38,less 40
1,1,17.216707972959764,0.0,13.122365377402328,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,12,1964,8,7,1,0,58,more 40
0,1,17.073607134447293,0.0,12.429220196836383,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2022,10,12,1977,7,18,1,0,45,more 40
1,1,16.118095750958314,0.0,0.0,1,-1,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,12,1971,4,27,1,1,51,more 40
0,1,16.588099342704055,0.0,12.429220196836383,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,12,1982,11,13,1,0,40,more 40
1,1,14.403297778421795,0.0,0.0,1,26.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,13,2000,2,26,1,1,22,less 40
0,1,16.648723960844016,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,13,1988,8,26,1,0,34,less 40
0,1,18.65179247285226,0.0,12.611541086966115,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,13,1979,7,20,1,0,43,more 40
0,1,17.11134746100564,0.0,17.11134746100564,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,13,1965,10,30,1,0,57,more 40
1,1,15.424948670398354,0.0,0.0,1,26.0,"wholesale and retail, auto repair",independent,0,0,True,False,2022,10,13,1992,9,26,1,1,30,less 40
0,1,16.95750538169306,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,13,1980,3,10,1,0,42,more 40
1,1,17.034386422832473,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,19,1968,10,28,1,1,54,more 40
